kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.4.sm_75.ptx 261 : 16 80 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 260 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 259 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 258 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 257 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 256 : 16 400 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 255 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 254 : 16 432 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 253 : 16 80 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 252 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 251 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 250 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 249 : 16 3104 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 248 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 247 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 246 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 245 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 244 : 16 44144 64 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 243 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 242 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 241 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 240 : 16 560 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 239 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 264 : 1048576 5525312 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 237 : 1048576 5552880 0 0 0 0 0 0 1 
backprop-rodinia-3.4.sm_75.ptx 236 : 1048576 6511680 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 235 : 1048576 6438080 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 234 : 1048576 5505120 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 233 : 1048576 9897952 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 232 : 1048576 6500992 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 231 : 1048576 6616032 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 230 : 1048576 13794752 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 229 : 1048576 6607040 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 228 : 1048576 202518240 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 227 : 1048576 6698624 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 226 : 1048576 27568800 0 0 0 40960 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 225 : 1048576 13862336 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 224 : 1048576 6703488 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 223 : 1048576 33637792 0 0 0 98304 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 222 : 1048576 10242560 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 221 : 1048576 6634880 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 220 : 1048576 13775040 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 219 : 1048576 6619616 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 218 : 1048576 3441216288 11367968 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 217 : 1048576 9547712 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 216 : 1048576 6518336 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 215 : 1048576 13749824 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 214 : 1048576 6519712 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 213 : 1048576 3873307936 5450752 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 212 : 1048576 9944064 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 211 : 1048576 9698944 0 0 0 0 0 0 0 
