kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lavaMD-rodinia-3.4.sm_75.ptx 184 : 368640 3502592 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 183 : 368640 3569856 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 182 : 368640 3554336 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 181 : 368640 134169184 196096 0 0 11520 11520 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 180 : 368640 3515520 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 179 : 368640 3436448 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 552 : 368640 2111968 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 551 : 368640 2311872 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 550 : 368640 2330592 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 549 : 368640 41491392 0 0 0 11520 11520 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 548 : 368640 6614016 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 547 : 368640 3083552 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 544 : 288000 0 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 543 : 288000 3243328 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 542 : 288000 2140016 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 316 : 352000 2505852 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 59 : 81920 26102016 20480 0 0 2560 2560 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 242 : 352000 2533108 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 241 : 352000 2738056 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 204 : 352000 27650576 0 88000 14080 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 330 : 352000 151647492 0 0 0 352000 14080 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 73 : 64000 442560 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 203 : 352000 29883820 0 88000 14080 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 460 : 16014536 102203332 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 329 : 352000 160693240 0 0 0 352000 14080 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 202 : 352000 139275616 0 0 0 352000 14080 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 326 : 352000 4929652 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 69 : 64000 522240 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 199 : 352000 145433560 0 0 0 352000 14080 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 456 : 16015720 102553972 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 165 : 81920 2092064 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 164 : 81920 1221312 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 163 : 81920 1399200 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 162 : 81920 1987072 0 0 0 0 0 0 0 
lavaMD-rodinia-3.4.sm_75.ptx 161 : 81920 1288288 0 0 0 0 0 0 0 
