kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v2-rodinia-3.4.sm_75.ptx 108 : 32768 210176 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 107 : 32768 347200 0 1024 1024 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 106 : 32768 27207264 32000 0 0 2048 1024 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 105 : 32768 310560 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 104 : 32768 302528 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 103 : 32768 304992 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 360 : 4194304 47047104 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 102 : 32768 339488 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 359 : 4194304 164579392 0 0 0 524288 131072 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 358 : 4194304 47433024 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 353 : 4194304 173503712 0 0 0 524288 131072 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 312 : 4194304 28147456 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 311 : 4194304 184961632 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 310 : 4194304 38438400 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 309 : 4194304 38026496 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 308 : 4194304 38034944 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 307 : 4194304 184895808 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 306 : 4194304 38267680 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 305 : 4194304 27616512 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 304 : 4194304 27719616 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 303 : 4194304 27059904 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 302 : 4194304 27631008 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 301 : 4194304 27912192 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 300 : 4194304 57225248 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 299 : 4194304 28004000 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 298 : 4194304 38380128 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 266 : 229376 1301342 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 265 : 229376 2131136 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 264 : 229376 2225622 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 263 : 229376 2074758 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 297 : 4194304 28363680 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 296 : 4194304 184899456 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 295 : 4194304 37940320 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 294 : 4194304 38537664 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 293 : 4194304 37838528 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 292 : 4194304 184890432 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 262 : 229376 6200712 0 16384 16384 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 261 : 229376 2187990 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 291 : 4194304 38208256 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 290 : 4194304 28154304 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 260 : 229376 2075934 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 289 : 4194304 28089888 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 288 : 4194304 32028896 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 252 : 229376 1317498 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 287 : 4194304 38232992 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 251 : 229376 2149434 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 286 : 4194304 37928032 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 250 : 229376 2273110 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 249 : 229376 2075766 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 259 : 229376 6338318 0 16384 16384 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 285 : 4194304 122819616 0 262144 131072 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 284 : 4194304 38430976 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 248 : 229376 6582646 0 16384 16384 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 247 : 229376 2075738 0 0 0 0 0 0 0 
