kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v2-rodinia-3.4.sm_75.ptx 441 : 32768 131296 0 1024 1024 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 440 : 32768 67282080 32768 0 0 2048 1024 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 439 : 32768 299968 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 438 : 32768 300000 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 437 : 32768 306624 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 436 : 32768 300384 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 538 : 6366720 34702336 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 537 : 6366720 109654848 0 0 0 795840 198960 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 536 : 6367232 175045088 0 198976 198976 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 535 : 6376032 32971680 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 534 : 6376064 22966080 0 199252 199252 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 533 : 6376128 58548992 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 532 : 6376224 58337408 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 531 : 6376256 32345984 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 530 : 6376256 39170784 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 529 : 6376256 39727456 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 528 : 6376448 39264800 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 527 : 6376448 83575040 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 526 : 6376608 38688320 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 525 : 6376608 40664256 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 524 : 6376736 157282624 0 199273 199273 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 523 : 6376832 40794080 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 522 : 6429504 183603136 0 401844 200922 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 521 : 6429504 38688269408 102553216 0 0 803688 200922 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 520 : 6429568 58455776 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 519 : 6429632 38744896 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 518 : 6429632 39893056 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 517 : 6459232 46953989376 103184000 0 0 807404 201851 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 516 : 6459296 58526688 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 515 : 6459296 38981888 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 514 : 6459296 39682304 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 513 : 6461536 58184896 0 0 0 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 512 : 6478592 326150016 0 227763 202456 0 0 0 0 
srad_v2-rodinia-3.4.sm_75.ptx 511 : 6478592 43774832256 103585792 0 0 809824 202456 0 0 
